seed,row_index,row_kind,grid_index,parameter,parameter_label,objective,cell,checkpoint_batch_zero_based,parameter_value,loss,psth_sse,cv_squared_error,analytic_gradient,firing_rate_hz,spike_count,sim_cv,cv_valid
123,34,grid,6,output_ad,Output adaptation,PSTH SSE,2,3,0.004999999888241291,1437.0,1437.0,0.37652942538261414,60.27435302734375,15.50283547531962,462.0,0.5866889953613281,True
123,34,grid,6,output_ad,Output adaptation,PSTH SSE,7,3,0.004999999888241291,2903.0,2903.0,0.34640663862228394,-2156.880126953125,14.328378242340861,427.0,1.1122615337371826,True
123,35,grid,7,output_ad,Output adaptation,PSTH SSE,1,6,0.007499999832361937,5068.0,5068.0,0.20377948880195618,101095.390625,33.79081238884601,1007.0,0.8769587874412537,True
123,35,grid,7,output_ad,Output adaptation,PSTH SSE,2,3,0.007499999832361937,1441.0,1441.0,0.4338361322879791,6520.4599609375,12.147243381094594,362.0,0.5416465401649475,True
123,35,grid,7,output_ad,Output adaptation,PSTH SSE,7,3,0.007499999832361937,2963.0,2963.0,0.5195101499557495,4931.64794921875,11.241233515653837,335.0,0.9800541996955872,True
123,36,grid,8,output_ad,Output adaptation,PSTH SSE,1,6,0.009999999776482582,5737.0,5737.0,0.32026827335357666,133844.453125,26.978960437569206,804.0,0.7624557018280029,True
123,36,grid,8,output_ad,Output adaptation,PSTH SSE,2,3,0.009999999776482582,1542.0,1542.0,0.5356656908988953,9334.4765625,10.43589141303983,311.0,0.4684170186519623,True
123,36,grid,8,output_ad,Output adaptation,PSTH SSE,7,3,0.009999999776482582,2998.0,2998.0,0.6925086379051208,11078.19921875,9.19432233817657,274.0,0.8686537146568298,True
123,37,grid,9,output_ad,Output adaptation,PSTH SSE,1,6,0.014999999664723873,6803.0,6803.0,0.505518913269043,146376.265625,19.73088151404315,588.0,0.6173796653747559,True
123,37,grid,9,output_ad,Output adaptation,PSTH SSE,2,3,0.014999999664723873,1617.0,1617.0,0.6768861413002014,14103.07421875,8.254756551793564,246.0,0.3775779902935028,True
123,37,grid,9,output_ad,Output adaptation,PSTH SSE,7,3,0.014999999664723873,3151.0,3151.0,1.012195348739624,14636.91015625,7.281634844468306,217.0,0.6947456002235413,True
123,38,grid,10,output_ad,Output adaptation,PSTH SSE,1,6,0.02500000037252903,8097.0,8097.0,0.8214634656906128,120945.953125,13.556592060669104,404.0,0.42203202843666077,True
123,38,grid,10,output_ad,Output adaptation,PSTH SSE,2,3,0.02500000037252903,1786.0,1786.0,0.8441489934921265,8945.1376953125,6.342069058085299,189.0,0.2815330922603607,True
123,38,grid,10,output_ad,Output adaptation,PSTH SSE,7,3,0.02500000037252903,3374.0,3374.0,1.3946900367736816,10234.517578125,5.771618402067045,172.0,0.5198547840118408,True
123,39,checkpoint_baseline,-1,output_ad,Output adaptation,PSTH SSE,1,6,0.005254278425127268,4714.0,4714.0,0.12150664627552032,-5966.9951171875,44.52870709036609,1327.0,0.9798001646995544,True
123,39,checkpoint_baseline,-1,output_ad,Output adaptation,PSTH SSE,2,3,0.0037855682894587517,1324.0,1324.0,0.3585936427116394,-13771.109375,17.885305862219386,533.0,0.6014820337295532,True
123,39,checkpoint_baseline,-1,output_ad,Output adaptation,PSTH SSE,7,3,0.004300237167626619,2910.0,2910.0,0.3006350100040436,-16210.6953125,15.50283547531962,462.0,1.1525228023529053,True
123,40,grid,0,on_ron_gSYN,on -> ron gSYN,PSTH SSE,1,6,0.0010000000474974513,10194.0,10194.0,0.21605217456817627,-321477.40625,5.805174323009295,173.0,0.8635640740394592,True
123,40,grid,0,on_ron_gSYN,on -> ron gSYN,PSTH SSE,2,3,0.0010000000474974513,1581.0,1581.0,0.1186218187212944,-84580.6484375,9.19432233817657,274.0,0.8558937311172485,True
123,40,grid,0,on_ron_gSYN,on -> ron gSYN,PSTH SSE,7,3,0.0010000000474974513,3809.0,3809.0,0.8219107985496521,-26388.404296875,6.4762927418543,193.0,0.7942317724227905,True
123,41,grid,1,on_ron_gSYN,on -> ron gSYN,PSTH SSE,1,6,0.0015182418283075094,10131.0,10131.0,0.153143972158432,-568572.6875,6.57696050468105,196.0,0.9370420575141907,True
123,41,grid,1,on_ron_gSYN,on -> ron gSYN,PSTH SSE,2,3,0.0015182418283075094,1549.0,1549.0,0.16026711463928223,-112744.0546875,10.133888124559578,302.0,0.7999751567840576,True
123,41,grid,1,on_ron_gSYN,on -> ron gSYN,PSTH SSE,7,3,0.0015182418283075094,3799.0,3799.0,0.7999359965324402,-22754.841796875,6.677628267507801,199.0,0.8064333200454712,True
123,42,grid,2,on_ron_gSYN,on -> ron gSYN,PSTH SSE,1,6,0.0023050580639392138,9691.0,9691.0,0.26081934571266174,-1148113.0,7.986309184255561,238.0,0.8176734447479248,True
123,42,grid,2,on_ron_gSYN,on -> ron gSYN,PSTH SSE,2,3,0.0023050580639392138,1462.0,1462.0,0.20438437163829803,-132937.4375,11.845240092614342,353.0,0.7482200264930725,True
123,42,grid,2,on_ron_gSYN,on -> ron gSYN,PSTH SSE,7,3,0.0023050580639392138,3762.0,3762.0,0.8346617221832275,-49240.6328125,6.845407872219052,204.0,0.7872264981269836,True
123,43,grid,3,on_ron_gSYN,on -> ron gSYN,PSTH SSE,1,6,0.0034996354952454567,9082.0,9082.0,0.4147975742816925,-1387565.375,10.234555887386328,305.0,0.684330403804779,True
123,43,grid,3,on_ron_gSYN,on -> ron gSYN,PSTH SSE,2,3,0.0034996354952454567,1386.0,1386.0,0.2922423779964447,-137054.5,14.227710479514108,424.0,0.6597144603729248,True
123,43,grid,3,on_ron_gSYN,on -> ron gSYN,PSTH SSE,7,3,0.0034996354952454567,3646.0,3646.0,0.8413281440734863,-138821.6875,7.248078923526056,216.0,0.7835853099822998,True
123,44,grid,4,on_ron_gSYN,on -> ron gSYN,PSTH SSE,1,6,0.0053132930770516396,8092.0,8092.0,0.422839879989624,-1810959.25,13.992819032918357,417.0,0.6781167984008789,True
123,44,grid,4,on_ron_gSYN,on -> ron gSYN,PSTH SSE,2,3,0.0053132930770516396,1393.0,1393.0,0.37672656774520874,136059.953125,18.791315727660145,560.0,0.5865283608436584,True
123,44,grid,4,on_ron_gSYN,on -> ron gSYN,PSTH SSE,7,3,0.0053132930770516396,3334.0,3334.0,0.8732926845550537,-167668.90625,8.388980235562565,250.0,0.766323447227478,True
123,45,grid,5,on_ron_gSYN,on -> ron gSYN,PSTH SSE,1,6,0.00806686282157898,6675.0,6675.0,0.3936406970024109,-1854597.0,20.80467098419516,620.0,0.7009702920913696,True
123,45,grid,5,on_ron_gSYN,on -> ron gSYN,PSTH SSE,2,3,0.00806686282157898,1740.0,1740.0,0.36040398478507996,822358.8125,27.21385188416496,811.0,0.5999723672866821,True
123,45,grid,5,on_ron_gSYN,on -> ron gSYN,PSTH SSE,7,3,0.00806686282157898,3001.0,3001.0,0.652522623538971,-221094.875,10.905674306231333,325.0,0.8930360078811646,True
123,46,grid,6,on_ron_gSYN,on -> ron gSYN,PSTH SSE,1,6,0.012247448787093163,5022.0,5022.0,0.22872844338417053,-1386878.625,32.1130163417335,957.0,0.8501225709915161,True
123,46,grid,6,on_ron_gSYN,on -> ron gSYN,PSTH SSE,2,3,0.012247448787093163,2753.0,2753.0,0.31023743748664856,2263733.5,40.06576960504681,1194.0,0.643319308757782,True
