seed,init_id,cell,epsilon,center_gain,gain_minus,gain_plus,actual_log_span,loss_minus,loss_center,loss_plus,fd_gradient_gain,fd_gradient_log_gain,analytic_gradient_gain,analytic_gradient_log_gain,loss_difference_exact_zero,center_firing_rate_hz
123,3,1,0.05,0.0030624063219875,0.002913051052019,0.0032194191589951,0.09999995447440713,4488.0,4537.0,4557.0,225219.26541584425,690.0003141267339,2107704.5,6454.647585681523,False,61.07177611489547
123,3,1,0.1,0.0030624063219875,0.0027709798887372,0.0033844825811684,0.20000003021390195,4331.0,4537.0,4556.0,366746.55674022506,1124.9998300468271,2107704.5,6454.647585681523,False,61.07177611489547
123,3,2,0.0025,0.0152102718129754,0.0151722934097051,0.0152483452111482,0.005000023887313633,55378.0,55418.0,55455.0,1012467.7987754103,15399.9264274255,70274224.0,1068890.0484859198,False,156.60548303748195
123,3,2,0.005,0.0152102718129754,0.0151344100013375,0.0152865136042237,0.010000016593218315,55403.0,55418.0,55437.0,223531.85167768798,3399.9943583151344,70274224.0,1068890.0484859198,False,156.60548303748195
123,3,2,0.01,0.0152102718129754,0.0150589272379875,0.0153631381690502,0.020000027435146346,55298.0,55418.0,55506.0,683736.1145222283,10399.98573374347,70274224.0,1068890.0484859198,False,156.60548303748195
123,3,2,0.02,0.0152102718129754,0.0149090886116027,0.0155175393447279,0.039999953883332134,55208.0,55418.0,55610.0,660694.413063155,10050.01158682616,70274224.0,1068890.0484859198,False,156.60548303748195
123,3,2,0.05,0.0152102718129754,0.0144684584811329,0.0159901194274425,0.09999999278988901,54529.0,55418.0,56197.0,1096170.6049204383,16680.0012026466,70274224.0,1068890.0484859198,False,156.60548303748195
123,3,2,0.1,0.0152102718129754,0.013762823306024,0.0168099515140056,0.20000006948008492,54010.0,55418.0,57087.0,1009803.2606373949,15384.994655246324,70274224.0,1068890.0484859198,False,156.60548303748195
123,3,7,0.0025,0.0139875570312142,0.0139526315033435,0.0140225701034069,0.0050000530294638254,153551.0,153564.0,153967.0,5948074.448486252,83199.1175990806,134211648.0,1877293.0806532505,False,243.3810945941412
123,3,7,0.005,0.0139875570312142,0.0139177935197949,0.014057669788599,0.010000008428652285,153524.0,153564.0,154164.0,4575472.347609801,63999.946056670844,134211648.0,1877293.0806532505,False,243.3810945941412
123,3,7,0.01,0.0139875570312142,0.0138483783230185,0.0141281345859169,0.020000032812255028,152972.0,153564.0,154489.0,5422577.440387577,75849.87555972696,134211648.0,1877293.0806532505,False,243.3810945941412
123,3,7,0.02,0.0139875570312142,0.0137105854228138,0.0142701240256428,0.03999992971982122,152329.0,153564.0,154837.0,4482264.471690912,62700.1101643738,134211648.0,1877293.0806532505,False,243.3810945941412
123,3,7,0.05,0.0139875570312142,0.0133053762838244,0.0147047145292162,0.09999997322491662,151497.0,153564.0,156458.0,3545247.2026239634,49610.013283122425,134211648.0,1877293.0806532505,False,243.3810945941412
123,3,7,0.1,0.0139875570312142,0.0126564651727676,0.0154586415737867,0.20000000667653914,147990.0,153564.0,159600.0,4143208.1134426976,58049.99806213458,134211648.0,1877293.0806532505,False,243.3810945941412
123,4,1,0.0025,0.0108905816450715,0.0108633888885378,0.010917842388153,0.005000049112966793,120069.0,120336.0,120569.0,9182146.299747415,99999.01775031237,43436740.0,473051.3633657433,False,252.5083050904332
123,4,1,0.005,0.0108905816450715,0.0108362641185522,0.0109451711177825,0.01000006708626972,120000.0,120336.0,120643.0,5904120.070742854,64299.568638179546,43436740.0,473051.3633657433,False,252.5083050904332
123,4,1,0.01,0.0108905816450715,0.0107822185382246,0.011000033468008,0.01999996971372302,119715.0,120336.0,120959.0,5711270.578362386,62200.094190464035,43436740.0,473051.3633657433,False,252.5083050904332
123,4,1,0.02,0.0108905816450715,0.0106749339029192,0.0111105861142277,0.03999999048455205,119234.0,120336.0,121595.0,5419460.612649331,59025.01404123622,43436740.0,473051.3633657433,False,252.5083050904332
123,4,1,0.05,0.0108905816450715,0.0103594418615102,0.0114489533007144,0.09999995002843538,117240.0,120336.0,123060.0,5341843.867422849,58200.02908346514,43436740.0,473051.3633657433,False,252.5083050904332
